Timestamp,FlowRate,TotalVol,AvgFlowRate
2026-03-09 13:18:23,0.0,5.0,0.01
2026-03-09 13:18:28,0.0,5.0,0.01
2026-03-09 13:18:33,0.0,5.0,0.01
2026-03-09 13:18:38,0.0,5.0,0.01
2026-03-09 13:18:43,0.0,5.0,0.01
2026-03-09 13:18:48,0.0,5.0,0.01
2026-03-09 13:18:53,0.0,5.0,0.01
2026-03-09 13:18:58,0.0,5.0,0.01
2026-03-09 13:19:03,0.0,5.0,0.01
2026-03-09 13:19:08,0.0,5.0,0.01
2026-03-09 13:19:13,0.0,5.0,0.01
2026-03-09 13:19:18,0.0,5.0,0.01
2026-03-09 13:19:23,0.0,5.0,0.01
2026-03-09 13:19:28,0.0,5.0,0.01
2026-03-09 13:19:33,0.0,5.0,0.01
